NUM,EXPECTED,model_epoch_01_gs_6146_beam_width_5,# characters,edit distance
1,ずっと先のことだけどね,ずっと先のことだけどね,11,0
2,おなか減って死にそうだよ,同かってってにそうだよ,12,5
3,水野先生がおっしゃったように,みずの選成が大まったいように,14,10
4,治療法が見つかるかもしれない,地料法が見つかるかもしれない,14,2
5,お母さん代わってあげられなくてごめんね,おかさんかわわって上げられなくてごめんね,19,4
6,お前がそんなことでどうすんだよ,今前がそんなことで同数だそよ,15,6
7,あいつはそんなヤワじゃねえよ,いいつはそんなわわじゃねよよ,14,4
8,あいつが折れそうになったら,いいつがおれそうになったら,13,2
9,弘樹もここしょうゆついてる,年気もここ調務ついてる,13,6
10,わたしの世界はまるで変わってしまった,私の世界はまるでかわってしまった,18,4
11,後ろから答案用紙集めて,おろろかと当安用したつめて,11,8
12,今年遊んどかないともう遊べないよ,今年あんどこないともうあよえないよ,16,5
13,アクアトピアに乗りたい,アクアトピイニのリタイ,11,6
14,女ってよくしゃべんなあと思って,どんなってよくはベンなあと思って,15,7
15,カメの餌やりとか金魚の餌やりとか,カメの声やりとか金を声さらりとか,16,5
16,そんなの誰かに頼めばいいじゃない,そんなの誰かにたのメバイイジじない,16,8
17,薬の効果やリハビリの方法を,クスリの公化やりはビリの方法を,13,7
18,確認したいと思ってます,確認したいと思ってます,11,0
19,こんなふうに毎日少しずつ,こんな風に毎日少したつつ,12,4
20,何かができなくなっていくの,何かができなくなっていくの,13,0
21,目を閉じて次の日が来るのがこわい,目をと事定に日がくるのがこわい,16,6
22,朝が来て悪くなってるかもしれないと,さかがきてわるくなってるかもしれないと,17,5
23,でもお父さんが聞いたら大変だね,でもお当さんがきいたたた時件だね,15,6
24,だってわたし病気になっちゃったでしょ,だって私業期になっちゃったでしょ,18,5
25,だから先輩にも迷惑かけちゃうかも,だからセンパイにもメミアクかけ調画かも,16,11
26,不公平なことをしようとしてるのは,不藤へなことを使用としてるのは,16,5
27,花火大会ぐらい一緒に行くでしょ,はワイタイキアグライイショシにいくでしょ,15,15
28,できること自分から投げ出すなんて,できること時分からけが出すなんて,16,3
29,神様は不公平だなんて言った,カミママは不行平打なんていった,13,7
30,浴衣着て髪アップにしたら,組加的を明っプにしたら,12,7
31,先輩きっとびっくりするわよ,センパイキットビックリスルさり,13,15
32,お母さんの後光が見えてきたような気がする,お回さんのご公が見えてきたようなきがする,20,4
33,わたしは自分を信じて行動すればいい,私は自分を新じて公動すればいい,17,5
34,やっぱ夏は浴衣とスイカと,やっぱなつはいかたとすいかと,12,8
35,お友達もみんなついてるし,今もだちもみんなついてる,12,5
36,見つける必要があります,見つける必要があります,11,0
37,夏休みを利用して検査のための,夏山を利用して検査のための,14,2
38,入院をされてはいかがでしょうか,入院をされてはいかがでしょうか,15,0
39,効果には個人差があるので,こうかにはコジンさがあるので,12,7
40,少し長くなるかもしれないから,少しな学なるかもしれないから,14,2
41,お前たちもう遅いから寝なさい,大合たちもおおいいからねなさい,14,6
42,周りが目に入らなかったんだよ,回りが目にはいらなかったんだよ,14,3
43,リハビリを担当する田辺です,リはビリを担当するたなけです,13,4
44,ショックも考えてみろよ,ショックも考えてみよろ,11,2
45,患者も医師も治療に専念する,間間もいしも調量に選念する,13,7
46,すぐお見舞い行かなきゃ,すうごみまいいかな感,11,7
47,クラスのみんなに声かける,クラスの民なに行えかける,12,4
48,亜湖お母さん夕方病院寄ってくるから,今回さん数が月日インよってくるから,17,11
49,遅くなると思うんだけど,お速なると思うんだけど,11,2
50,なるべく早く帰るようにはするけど,なるべくは約かえるようにはするけど,16,4
51,わたしマミと約束あるんだから,私マミト約速あるんだから,14,5
52,今は家族が一致団結して,今はカククがイッチ万決して,11,8
53,ガトーボヌールのケーキだ,がフォUボUルルのケUキだ,12,7
54,一応人数分買ってあるわよ,一藤人数分かってあるわよ,12,2
55,麻生君に会いたくて来たのにね,そうクンニニアタク的たのにね,14,10
56,一応声はかけたんっすけどね,一行こけはかけた担作けどね,13,6
57,何か感じが変わっちゃった,なにかかじじがかわったちった,12,7
58,今度は捕まんないようにしろよ,今度はつかんないようにしろよよ,14,3
59,途中まで一緒にいたんだけど,と中まで一緒に言いたんだけど,13,2
60,次の日川島で発見されたの,次のにっかわとうで発件されたの,12,7
61,あんまり信用してないらしい,アンマリシュようしてないらしい,13,8
62,友達来てくれてよかったわね,ともだちきてくれてよかったわね,13,5
63,こんなにたくさんもらっちゃった,こんなにたくさんもらったちった,15,2
64,動いてくると思いますけれども,上いてくると思いますけれども,14,1
65,両手を上げて手のひらを上にして,料手を上げてての年を上にして,15,4
66,デートに行けるとなったら,デUトに言けけるとなったら,12,3
67,そんなことないですって,そんなことないですって,11,0
68,今できること頑張るって決めたんだ,今できることが番バルテェケメンだ,16,9
69,原因不明の神経変性疾患,現因フェイジの新計編成した感,11,12
70,じゃあ結局今日の池内との,アアアケック局の入けたとの,12,10
71,どうしようかと思ってさ,同しようかと思ってさ,11,2
72,せっかくの誕生日の日に,セッククの端上機の日に,11,7
73,さっき病院に電話きてた,サッキ製院に電話的て,11,6
74,メスは餌を探しに出るんだけど,メスは世を探しにでるんだけど,14,2
75,その間どんなに腹減っても,そのカンドなにはら変っても,12,6
76,ずっと卵守って待ってんだよ,アットタマジョマもってまってんだそよ,13,11
77,本当は先輩は来ないかもって思ってた,本当は先敗はこないかもって思ってった,17,3
78,何言ってるか分かんなくなっちゃうんだって,なにいってるかかわんなくなっちゃんんだって,20,6
79,最後には寝たきりになって,最後にはネタキリになって,12,4
80,その人物は派手なパンクファッションに,その人物ははでなパンクフォUションに,18,4
81,身を包んでいたそうですが,みをつつんでいたそうですが,12,3
82,まさにあんな感じでした,まさになんな感じでした,11,1
83,記憶には自信があるんです,ききくには自信があるんです,12,3
84,先ほどあなたが見たのは,さきほどあなたが見たのは,11,2
85,さっき記憶には自信があると,さっきききくには自信があると,13,3
86,自信がなくなってきました,自身がなくなってきました,12,1
87,でも見てみたかったわね,でも見てみたかったわね,11,0
88,いろいろ教えてくださいね,いろいろ押せてくくさいねね,12,4
89,事務所の経営に貢献してくださいね,自務所の経営に広験してくださいね,16,3
90,それはいいじゃないですか,それはいいじゃないですか,12,0
91,協力したのは私たちです,強力したのは私立ちです,11,2
92,私も協力をお願いされたら,私も強力をお願いされたら,12,1
93,カツラぐらいは被りましたよ,カツラグライは公すりましたよ,13,5
94,私もちょっとは協力しました,私もちょっとは強力しました,13,1
95,こういう時はじゃんけんでしょ,こういうときは前件でしょ,14,7
96,宮田さんじゃんけんに勝てて,見やたさんんん件にかってて,13,9
97,思いっきりのんびりしちゃいましょ,思いっきりのビビリしちいましょ,16,4
98,とりあえずお風呂入りましょうね,トリアアイオフロはいりましょうね,15,10
99,恐ろしい殺人事件が起きる事など,おそろしい次人時件が行きることなど,15,7
100,のんびりしようって言いましたよね,のビビリしようていいましたよね,16,5
101,プロデューサーの仕事でしょ,プロデュUサUのしごとでしょ,13,5
102,撮り方の工夫で何とかするから,とりかたのク含でなんとかするから,14,7
103,あさすが大女優って感じ,アサスが大女数って感じ,11,4
104,高校の時の友人なんです,公行の答の有人なんです,11,4
105,私たちここに泊まってるの,私たちここにとまってるの,12,1
106,まだ駆け出しみたいですけど,まだかけだしみたいですけど,13,2
107,お肌ツルツルになるんですって,大はつるつるになるんですって,14,6
108,いろいろと苦労したんだね,いろいろとくろうしたんだね,12,3
109,私は今回だけなんだけどね,私は今回だけなんだけどねね,12,1
110,真理江さんは体調が悪いみたいで,マリエややは対長が悪いみたいで,15,7
111,何かちょっと怖そうな人ね,何かちちと行わそうな人ね,12,4
112,ホントはいい人なんだよ,本とはいい人となんだよ,11,4
113,朝から監督の姿が見当たらなくて,やかから簡督のスが型見たたなくて,15,7
114,スケジュールも狂っちゃって,スケジュUルもクルチャッて,13,6
115,私そんなメール出してません,私そんなメUルだしてません,13,2
116,送信記録が残ってますよ,総新広画がこってますよ,11,5
117,温泉で殺人事件と遭遇したの,オンセンでシャジジジェントよう上したの,13,15
118,写真だけでわかるわけないだろ,写真だけでわるわけけないだろ,14,2
119,山岡監督と田代睦美の間には,やまおかかんとくとたらコムミニの話は,13,16
120,という憶測が飛び交っている,という奥作が取りかっている,13,5
121,マスコミで話題になっている事件だけに,ままも見で話いになっている時件だけに,18,6
122,勝訴すれば事務所の名前が上がりますね,詳そすれば事務所の名前があがりますね,18,3
123,あなたがそこまで言うんだったら,あなたがそこまでいうんだったら,15,1
124,それは私がよく知っています,それは私がよくしています,13,2
125,ホテルの最上階にある展望風呂,ホテルの最上会にある点不夫,14,5
126,郡山まで行く車の中から,今割ままでいくくるもの中から,11,7
127,先に帰ったお詫びをしておこうと思って,さきに変えたお回をしておこうと思って,18,6
128,そこで最上階の展望風呂の事を,そこで最上会の展望フロのことを,14,5
129,お肌がツルツルになるから,以はがつくつるになるから,12,6
130,協力するから何でも言ってね,強力するからなにでもいってね,13,4
131,誰かが勝手に自分の携帯を使って,誰かがかってに自分の携帯を使って,15,3
132,真犯人が見つからないまでも,新半人が見つからないまでも,13,2
133,では被告人は席に戻ってください,では日国人は先にもどってください,15,5
134,切迫流産の危険があったそうですが,セッチカブ約前の変けがあったそうですが,16,9
135,数日入院すれば心配ないそうです,数日入院すれば新敗いないそうです,15,3
136,じゃあ裁判はいずれ再開されますね,ア間最版はいずささい開されますね,16,8
137,それにしても前代未聞ね,それにしても全台みも問ね,11,5
138,睦美どうして教えてくれなかったんだろう,ム実道して教えてくれなかったんだろう,19,4
139,監督が恨まれるなんてないと思う,監督があらまれるなんてないと思う,15,2
140,厳しいけど思いやりのある人だから,機載しいここもいいやりのある人だから,16,6
141,常連に売ったような気がしますね,上連にいったようなきがしますね,15,3
142,じゃ山岡さんが殺害された時刻に,回山かさんが活が入れた時国に,15,7
143,ラウンジであなたと一緒にいたのは,ラウンジであなたと一緒にいたのは,16,0
144,ありがとうございました,ありがとうございました,11,0
145,何か睦美ちゃんに不利になる事を,何が含みチャンにフリになることを,15,10
146,告げ口するみたいで話しにくくてね,つが受つする見いではなしにくるてね,16,9
147,拘置所に戻されたそうよ,公地市にもどされたそよよ,11,6
148,色々訊いて回ったんですけど,おいろききて見わったんですけど,13,7
149,あの日先に東京に帰ってます,あの日崎に東京にかけてまます,13,4
150,香山プロデューサーが証言してます,カカマプロデュUサUが勝減してます,16,7
151,インターネットを通じて投稿するんです,インタUネットを通じて投行するんです,18,2
152,この動画が投稿されたのが,この動画が投行されたのが,12,1
153,つまり事件翌日の朝です,つまり時件よう実のやさです,11,6
154,やっぱり撮影されたのは,やっぱり撮影されたのは,11,0
155,帽子とマスクの男いたじゃないですか,ボクしとますくの大いいたじゃないですか,17,8
156,あの正体がわかったんです,あの紹態がわかったんです,12,2
157,相手役を務める須藤健一さんから,いいて約をツトメルス登件一産から,15,13
158,抱負を伺いたいと思います,東府を行がいたいと思います,12,4
159,ファンの人は立ち入り禁止ですよ,ファンの人はたちいり金しですよ,15,4
160,柔軟性があるって事じゃないですか,中男性があるってことじゃないですか,16,4
161,車まで乗せていただいて,くるまでのセティタだいて,11,7
162,それはアリバイでも何でもないぞ,それはアリイでもなにでもないぞ,15,3
163,せっかく優しくしてあげたのに,セケックやさしくしてあげたのに,14,6
164,先生この部屋何か暑くないですか,専生このへやなにかかくないですか,15,6
165,リモコンどこいっちゃったんだろう,リモコンド大ったったんだろう,16,5
166,ずっと聞かせてもらったってわけだ,ずっときかせてもらっったってわけだ,16,2
167,お手柄と言いたいところだがな,いてがらといいたいところだがな,14,5
168,これが山村ヨウコの細胞,これが約マクようこのサイボ,11,9
169,あれならとっくに解析処理を終えた,あれならとックに開成式ををえた,16,7
170,俺のほうでも調べてみたいんだ,おれの方でも白べてみたインだ,14,7
171,訓練を受けた張本人ですら,クン連を受けた調本人ですら,12,4
172,耐え切れる者はいません,たえきれるものはいません,11,4
173,一緒にご飯食べるところなの,一緒に後はタンセルところなの,13,6
174,こんな訪ね方しか出来なくて,こんなたずけた私できなくて,13,7
175,あるヤツの名前と住所を,ある新の名エット上社を,11,7
176,そしたら本当にそいつが死んで,そしたら本当にそいつが新で,14,2
177,やつらにやられっぱなしだ,新らにやられっぱなしだ,12,2
178,いま少し休ませてるんです,いますこしやすまててるんです,12,5
179,再開されることへの恐怖を抱きます,最回されることへの強布を行いきます,16,6
180,間もなく彼女は落ちます,まもなくかの事は高ます,11,6
181,しっかり覚えてほしんだけど,しっかりおばえてほシンだけど,13,4
182,父親のことをあいつに知らせるな,ちちおやのことを追いにしらせせるな,15,8
183,全然落ちねーじゃないか,全全同ネUジャないか,11,7
184,予想以上に粘っています,予想以上にねばっています,11,2
185,だったらもっとレベルを上げろ,だったらもっとレベルを上げろ,14,0
186,死んでしまったら二度と手がかり,新でしまったらにどと手がかり,15,4
187,関わらせることは本当に避けたいんだが,かかわらせることは本当にさけたいんだが,18,3
188,あいつらを捕まえるチャンスなんだろ,いいつらを使ええるチャンスなんだろ,17,3
189,テロリスト確保の際に何かあった時は,取りリストカクほの最にになかったときは,17,11
190,国を守ることが最優先だ,クにをマモルことが最有戦だ,11,7
191,でもちょっと元気出てきました,でもちょっと現気でてきました,14,2
192,その人に会わせてあげる,その人に合わせて上げる,11,2
193,そんなもんさっきの青い車を,そんなもサックの多いくるまを,13,8
194,捕まえてみればわかるんだよ,使ええてみればわわるんだよ,13,3
195,もう少しで大切な証人を,もう少しで対策な商人を,11,3
196,少々強引なところがありまして,紹介ごいんなところがありまして,14,5
197,何かいじってないと落ち着かなくて,何回時的ないと高つかなくて,16,8
198,自動車販売会社に勤める,自動者販売会社につとめる,11,3
199,現場に争った形跡がなかったことから,現場にありまった形績がなかったことから,17,4
200,ずいぶん辺鄙なところだな,イイインへ年にところだな,12,7
201,ウイルスを隠しているんだから,イイルスを確しているんだから,14,2
202,仲間を引き連れて戻ってくるかもよ,中かを引き切れてもどってくるかもよ,16,5
203,下手な心理戦仕掛けやがって,食な新理選しかけやがって,13,6
204,俺たちに何も出来なくさせる,あれたちに何もできなくさせせる,13,5
205,今のところ見当たらない,今のところみたたらない,11,2
206,そんなもんさっきの青い車,そんなモUキキのあいくるま,12,9
207,俺も早く気づくべきだった,あれもは約月付けきだった,12,8
208,あんたが犯人だってわかるようになっています,アンタが半人だってわるようになっています,21,5
209,言い訳は本部でゆっくりしろ,いいわけは本部でアククリシロ,13,9
210,あなたは私たちが言うことを,あなたは私たちがいうことを,13,1
211,ヒーローが犯人の背中に,ピUロUが半人のせなかに,11,7
212,これからは嘘だって思いなさい,これからはうそだって思いなさい,14,2
213,それじゃあ最後にもうひとつ頼む,それが回最後にもう人つたの目,15,8
214,上空から現場の画定はできません,上宅から現番の各定はできません,15,3
215,その後の状況報告お願いします,その後の状況法告行願いします,14,2
216,お互い頑張って生きていきましょうね,あたがいん版っていきていきましょうね,17,6
217,報告が送れてすみません,方国が高れてすみません,11,3
218,銃を奪われ撃たれました,上を増われるたれました,11,3
219,自分の正体がバレたのか,自分の詳体がバレタのか,11,2
220,このままの流れで決行だ,このままの中れで決告だ,11,2
221,高木君家にいなかったんだけど,高議関にいなかったんだけど,14,3
222,こちらの方とも確認してみます,こちらの方とも確認してみます,14,0
223,遥ちゃん今病院なんですけど,はクカチャンコン病院なんですけど,13,8
224,お兄さんのことすごく心配していて,いにいさんのことすごく新敗していて,16,5
225,あちこちに大きいホースが,あちこちにおいいいポUスが,12,5
226,今すぐ空調を全部止めて,いますぐく調を全部とめて,11,4
227,感染したと決まったわけじゃないだろう,関選したときまったわけじゃじないだろう,18,4
228,対テロを専門としている組織だ,タイテロをセンメントしているよしきだ,14,10
229,研究室に戻る気はありません,検索質にモルク機はありません,13,7
230,やっぱり食われたのは宝生,やっぱりわわれたのは方調,12,3
231,我々へのウィルステロは失敗だ,われわれへの乗るストラはシッパだ,14,12
232,全員殺すつもりだったの,全員ころすつもりだったの,11,2
233,すぐに出動の要請をする,すぐに出うどの用性をする,11,4
234,当たれば高圧電流が流れて,たっれば行いつ電売ががかれて,12,8
235,どうしたらこの国を救えるのか,どうしたらこの分をすくえるのか,14,3
236,俺にはただずっと側にいてほしい,例にはたずずとがわにいてほしい,15,5
237,これを届けにきてくれたの,これをとどけに切てくれたの,12,3
238,あなたに会いたいって言ってるのよ,あなたにアイタイテイテテルのよ,16,10
239,でもこれで追跡は不可能よ,でもこれで追影は外可能よ,12,2
240,相変わらず気持ちいいほど自分本位,いいかわらずきしちいいほど時分本員,16,7
241,科学捜査などの専門的捜査で,価格総さなどの専門的用さで,13,6
242,凶悪犯罪に対応していくチムです,強く中全に対応していくチェムです,15,5
243,あの女と同期だそうです,あのオントと動きだそうです,11,5
244,それに新しい部署の失敗は,それに新しいブシノシシパは,12,6
245,どこの部署からもいらない精鋭たちが,ここのブショからもいらない世界的が,17,8
246,容疑者じゃありませんよ,容疑者じありませんよ,11,1
247,暴力事件を起こしてましてね,防力時件を行こしてましてね,13,3
248,どうぞよろしくお願いします,どうぞよろしくお願いします,13,0
249,こんな部署やることないでしょ,こんなブショアルことないでしょ,14,5
250,身元不明の焼死体が発見された,みもと不明の詳したいが発戦された,14,8
251,上半身が丸焦げだったようです,上半新がまるこけがったったようです,14,8
252,あと片腕が折れていたとか,あと型でがあれていたとか,12,3
253,わたし刑事じゃないですから,私計時間ないですから,13,7
254,警察といえどもね異動はあるの,携末といえども言い同はあるの,14,5
255,わたし人間に興味ないんで,私人限に強みないんで,12,6
256,片桐さんにはお似合いですね,かたぎりさんには以にアイですね,13,8
257,相当手広くやっていたようで,そうとティビロクやっていたようで,13,8
258,炭化した内臓が粉砕してた,タンかした内蔵がフィン最してたた,12,9
259,着任早で張り切ってんのは分かるが,チャクにはやではリキッチンのはわわるが,16,14
260,鉄塔に登らせた可能性が,テット人のボラセカ可能性が,11,9
261,じゃあこの着信履歴調べれば,アアカコのチャクシリレキシラレベレバ,13,17
262,それからついでに現場で,それからついでに現番で,11,1
263,それにそんな薬品なんて,それにそんや約品なんて,11,2
264,近どこかと合併するとか,金度こかとが月生るとか,11,5
265,業界大手のグロリアス薬品と,業界おいてのグロリアス約人と,13,5
266,またテレビで報道されると思います,またテレビで報動されると思います,16,1
267,焼死ならそうはいかないわ,詳しならそうはいかないわ,12,2
268,わたしがこの目で確認してる,私がこのメで確認してる,13,4
269,指示を受けていたことが分かってる,仕事を受けていたことがわかってる,16,3
270,摩擦で爆発するようになっていた,ままつで爆発するようになっていた,15,3
271,つまり一度着たら脱ぐことのできない,つまり一度立たらくがことのできない,17,3
272,一番いやなことさせたわけか,一番いやなことさせたわけかか,13,1
273,あまり評判のよくない銀行です,あまり標番のよくない人行です,14,3
274,次の犯行もすぐに起こるわ,次の判行もすぐにころわる,12,4
275,改造したスタンガンが見つかった,回場したスタンガンが見つかった,15,2
276,セットされてる可能性が極めて高い,セットされてる可能性が変わめてたかい,16,4
277,そういうことだ遊んでる暇はない,そういうことだそんでる日まはない,15,3
278,やはり爆弾はセットされてるな,やはリククダンはセットされてるなな,14,6
279,時間なんて気にする必要ない,時間なん的にする必要ない,13,2
280,かなり精密にやらないと,かなり制見つにやらないと,11,3
281,ほんのわずか多めにする,本のやくかお込めにする,11,6
282,それも何度かやってみないと分からない,それもなんどかやってみないとわわらない,18,5
283,戸倉さんにお聞きしました,とくらさんにおきききしました,12,5
284,何から何まで教えていただきました,何からなにまで教えていただきました,16,2
285,嘘は絶対に言ってはならない,そうは全体にいってはならない,13,5
286,今爆弾処理班が向かっています,コンバッダンシリハンが向かっています,14,10
287,もう少し待てばよかったんだよ,もう少しまればよかったんだよ,14,2
288,言わせるために作ったんだって,いわせるためにつくったんだって,14,3
289,それはわたしが優秀だからです,それは私が有集だからです,14,5
290,ここは誰も教えてくれないからな,ここは誰も教えてくれないからな,15,0
291,あののっぽと付き合ってる男,あの日本つきあってるとおこ,13,9
292,現実的にはそうかもしれない,現実的にはそうかもしれない,13,0
293,でも撃てなきゃ刑事じゃない,でもうてな客計時間ない,13,7
294,お前のこと色々噂になってるぞ,お前のこといろいうわわになってるるぞ,14,7
295,さっき台東区で女子大生が,さったいいとくくで女市大性が,12,8
296,共に地取り鑑取りを行っていますが,とも日トリカントリリを行っていますが,16,10
